model;date;sales;month;year;
V60 CC;2018-09-30;633;September;2018;
V60 II;2018-09-30;3152;September;2018;
V70 III;2018-09-30;0;September;2018;
V90;2018-09-30;2205;September;2018;
V90 CC;2018-09-30;1881;September;2018;
XC40;2018-09-30;9257;September;2018;
XC60;2018-09-30;18;September;2018;
XC60 II;2018-09-30;18594;September;2018;
XC70 III;2018-09-30;0;September;2018;
XC90 II;2018-09-30;8380;September;2018;
S60 CC;2017-09-30;100;September;2017;
S60 II;2017-09-30;1356;September;2017;
S60L;2017-09-30;3556;September;2017;
S80 II;2017-09-30;3;September;2017;
S90;2017-09-30;4576;September;2017;
V40;2017-09-30;6522;September;2017;
V40 CC;2017-09-30;1899;September;2017;
V60;2017-09-30;2690;September;2017;
V60 CC;2017-09-30;1186;September;2017;
V60 II;2017-09-30;0;September;2017;
V70 III;2017-09-30;1;September;2017;
V90;2017-09-30;2525;September;2017;
V90 CC;2017-09-30;1755;September;2017;
XC40;2017-09-30;0;September;2017;
XC60;2017-09-30;14391;September;2017;
XC60 II;2017-09-30;5169;September;2017;
XC70 III;2017-09-30;8;September;2017;
XC90 II;2017-09-30;7937;September;2017;
S60 CC;2018-08-31;78;August;2018;
S60 II;2018-08-31;918;August;2018;
S60L;2018-08-31;1666;August;2018;
S80 II;2018-08-31;0;August;2018;
S90;2018-08-31;4100;August;2018;
V40;2018-08-31;3192;August;2018;
V40 CC;2018-08-31;828;August;2018;
V60;2018-08-31;1167;August;2018;
V60 CC;2018-08-31;787;August;2018;
V60 II;2018-08-31;877;August;2018;
V70 III;2018-08-31;0;August;2018;
V90;2018-08-31;1313;August;2018;
V90 CC;2018-08-31;1375;August;2018;
XC40;2018-08-31;6540;August;2018;
XC60;2018-08-31;22;August;2018;
XC60 II;2018-08-31;13364;August;2018;
XC70 III;2018-08-31;0;August;2018;
XC90 II;2018-08-31;7134;August;2018;
S60 CC;2017-08-31;92;August;2017;
S60 II;2017-08-31;1015;August;2017;
S60L;2017-08-31;3024;August;2017;
S80 II;2017-08-31;11;August;2017;
S90;2017-08-31;3601;August;2017;
V40;2017-08-31;3825;August;2017;
V40 CC;2017-08-31;1107;August;2017;
V60;2017-08-31;1700;August;2017;
V60 CC;2017-08-31;836;August;2017;
V60 II;2017-08-31;0;August;2017;
V70 III;2017-08-31;0;August;2017;
V90;2017-08-31;1472;August;2017;
V90 CC;2017-08-31;1478;August;2017;
XC40;2017-08-31;0;August;2017;
XC60;2017-08-31;11743;August;2017;
XC60 II;2017-08-31;2048;August;2017;
XC70 III;2017-08-31;1;August;2017;
XC90 II;2017-08-31;5926;August;2017;
S60 CC;2018-07-31;95;July;2018;
S60 II;2018-07-31;1402;July;2018;
S60L;2018-07-31;1974;July;2018;
S80 II;2018-07-31;0;July;2018;
S90;2018-07-31;4072;July;2018;
V40;2018-07-31;4913;July;2018;
V40 CC;2018-07-31;1218;July;2018;
V60;2018-07-31;1609;July;2018;
V60 CC;2018-07-31;902;July;2018;
V60 II;2018-07-31;1491;July;2018;
V70 III;2018-07-31;0;July;2018;
V90;2018-07-31;1560;July;2018;
V90 CC;2018-07-31;1268;July;2018;
XC40;2018-07-31;9005;July;2018;
XC60;2018-07-31;34;July;2018;
XC60 II;2018-07-31;14231;July;2018;
XC70 III;2018-07-31;0;July;2018;
XC90 II;2018-07-31;7157;July;2018;
S60 CC;2017-07-31;92;July;2017;
S60 II;2017-07-31;1213;July;2017;
S60L;2017-07-31;2709;July;2017;
S80 II;2017-07-31;0;July;2017;
S90;2017-07-31;3410;July;2017;
V40;2017-07-31;5650;July;2017;
V40 CC;2017-07-31;1559;July;2017;
V60;2017-07-31;2014;July;2017;
V60 CC;2017-07-31;1029;July;2017;
V60 II;2017-07-31;0;July;2017;
V70 III;2017-07-31;3;July;2017;
V90;2017-07-31;2089;July;2017;
V90 CC;2017-07-31;1820;July;2017;
XC40;2017-07-31;0;July;2017;
XC60;2017-07-31;13713;July;2017;
XC60 II;2017-07-31;2427;July;2017;
XC70 III;2017-07-31;3;July;2017;
XC90 II;2017-07-31;6547;July;2017;
S60 CC;2018-06-30;113;June;2018;
S60 II;2018-06-30;1571;June;2018;
S60L;2018-06-30;2246;June;2018;
S80 II;2018-06-30;0;June;2018;
S90;2018-06-30;5561;June;2018;
V40;2018-06-30;5397;June;2018;
V40 CC;2018-06-30;1621;June;2018;
V60;2018-06-30;3336;June;2018;
V60 CC;2018-06-30;1477;June;2018;
V60 II;2018-06-30;1004;June;2018;
V70 III;2018-06-30;0;June;2018;
V90;2018-06-30;3593;June;2018;
V90 CC;2018-06-30;2521;June;2018;
XC40;2018-06-30;6538;June;2018;
XC60;2018-06-30;70;June;2018;
XC60 II;2018-06-30;19534;June;2018;
XC70 III;2018-06-30;0;June;2018;
XC90 II;2018-06-30;9476;June;2018;
S60 CC;2017-06-30;87;June;2017;
S60 II;2017-06-30;1763;June;2017;
S60L;2017-06-30;3265;June;2017;
S80 II;2017-06-30;0;June;2017;
S90;2017-06-30;3455;June;2017;
V40;2017-06-30;7191;June;2017;
V40 CC;2017-06-30;2243;June;2017;
V60;2017-06-30;2978;June;2017;
V60 CC;2017-06-30;1533;June;2017;
V60 II;2017-06-30;0;June;2017;
V70 III;2017-06-30;1;June;2017;
V90;2017-06-30;3767;June;2017;
V90 CC;2017-06-30;2401;June;2017;
XC40;2017-06-30;0;June;2017;
XC60;2017-06-30;16905;June;2017;
XC60 II;2017-06-30;781;June;2017;
XC70 III;2017-06-30;9;June;2017;
XC90 II;2017-06-30;7972;June;2017;
Other;2018-05-31;95;May;2018;
S60 CC;2018-05-31;69;May;2018;
S60 II;2018-05-31;1494;May;2018;
S60L;2018-05-31;2515;May;2018;
S80 II;2018-05-31;0;May;2018;
S90;2018-05-31;4851;May;2018;
V40;2018-05-31;4477;May;2018;
V40 CC;2018-05-31;1367;May;2018;
V60;2018-05-31;2771;May;2018;
V60 CC;2018-05-31;1529;May;2018;
V70 III;2018-05-31;0;May;2018;
V90;2018-05-31;2698;May;2018;
V90 CC;2018-05-31;1939;May;2018;
XC40;2018-05-31;5413;May;2018;
XC60;2018-05-31;171;May;2018;
XC60 II;2018-05-31;16171;May;2018;
XC70 III;2018-05-31;0;May;2018;
XC90 II;2018-05-31;7979;May;2018;
Other;2017-05-31;0;May;2017;
S60 CC;2017-05-31;120;May;2017;
S60 II;2017-05-31;1551;May;2017;
S60L;2017-05-31;2841;May;2017;
S80 II;2017-05-31;0;May;2017;
S90;2017-05-31;3172;May;2017;
V40;2017-05-31;6209;May;2017;
V40 CC;2017-05-31;1788;May;2017;
V60;2017-05-31;2861;May;2017;
V60 CC;2017-05-31;1563;May;2017;
V70 III;2017-05-31;6;May;2017;
V90;2017-05-31;2954;May;2017;
V90 CC;2017-05-31;1843;May;2017;
XC40;2017-05-31;0;May;2017;
XC60;2017-05-31;15639;May;2017;
XC60 II;2017-05-31;48;May;2017;
XC70 III;2017-05-31;5;May;2017;
XC90 II;2017-05-31;6647;May;2017;
S60 CC;2018-04-30;64;April;2018;
S60 II;2018-04-30;1651;April;2018;
S60L;2018-04-30;2284;April;2018;
S80 II;2018-04-30;0;April;2018;
S90;2018-04-30;4847;April;2018;
V40;2018-04-30;4976;April;2018;
V40 CC;2018-04-30;1543;April;2018;
V60;2018-04-30;2886;April;2018;
V60 CC;2018-04-30;1544;April;2018;
V70 III;2018-04-30;0;April;2018;
V90;2018-04-30;3081;April;2018;
V90 CC;2018-04-30;1911;April;2018;
XC40;2018-04-30;5554;April;2018;
XC60;2018-04-30;213;April;2018;
XC60 II;2018-04-30;14840;April;2018;
XC70 III;2018-04-30;0;April;2018;
XC90 II;2018-04-30;7241;April;2018;
S60 CC;2017-04-30;167;April;2017;
S60 II;2017-04-30;1580;April;2017;
S60L;2017-04-30;2474;April;2017;
S80 II;2017-04-30;2;April;2017;
S90;2017-04-30;3391;April;2017;
V40;2017-04-30;5690;April;2017;
V40 CC;2017-04-30;1887;April;2017;
V60;2017-04-30;3569;April;2017;
V60 CC;2017-04-30;1635;April;2017;
V70 III;2017-04-30;14;April;2017;
V90;2017-04-30;2896;April;2017;
V90 CC;2017-04-30;1734;April;2017;
XC40;2017-04-30;0;April;2017;
XC60;2017-04-30;15434;April;2017;
XC60 II;2017-04-30;0;April;2017;
XC70 III;2017-04-30;25;April;2017;
XC90 II;2017-04-30;6397;April;2017;
S60 CC;2018-03-31;107;March;2018;
S60 II;2018-03-31;2153;March;2018;
S60L;2018-03-31;2324;March;2018;
S80 II;2018-03-31;0;March;2018;
S90;2018-03-31;5832;March;2018;
V40;2018-03-31;8081;March;2018;
V40 CC;2018-03-31;1974;March;2018;
V60;2018-03-31;3669;March;2018;
V60 CC;2018-03-31;1596;March;2018;
V70 III;2018-03-31;0;March;2018;
V90;2018-03-31;4639;March;2018;
V90 CC;2018-03-31;2165;March;2018;
XC40;2018-03-31;4261;March;2018;
XC60;2018-03-31;377;March;2018;
XC60 II;2018-03-31;16277;March;2018;
XC70 III;2018-03-31;0;March;2018;
XC90 II;2018-03-31;9583;March;2018;
S60 CC;2017-03-31;167;March;2017;
S60 II;2017-03-31;2013;March;2017;
S60L;2017-03-31;3089;March;2017;
S80 II;2017-03-31;0;March;2017;
S90;2017-03-31;3344;March;2017;
V40;2017-03-31;9148;March;2017;
V40 CC;2017-03-31;2304;March;2017;
V60;2017-03-31;4286;March;2017;
V60 CC;2017-03-31;1847;March;2017;
V70 III;2017-03-31;22;March;2017;
V90;2017-03-31;3164;March;2017;
V90 CC;2017-03-31;1673;March;2017;
XC40;2017-03-31;0;March;2017;
XC60;2017-03-31;18420;March;2017;
XC60 II;2017-03-31;0;March;2017;
XC70 III;2017-03-31;20;March;2017;
XC90 II;2017-03-31;7661;March;2017;
S60 CC;2018-02-28;89;February;2018;
S60 II;2018-02-28;1179;February;2018;
S60L;2018-02-28;1759;February;2018;
S80 II;2018-02-28;0;February;2018;
S90;2018-02-28;3829;February;2018;
V40;2018-02-28;4722;February;2018;
V40 CC;2018-02-28;1387;February;2018;
V60;2018-02-28;2824;February;2018;
V60 CC;2018-02-28;1232;February;2018;
V70 III;2018-02-28;0;February;2018;
V90;2018-02-28;3305;February;2018;
V90 CC;2018-02-28;1724;February;2018;
XC40;2018-02-28;1580;February;2018;
XC60;2018-02-28;384;February;2018;
XC60 II;2018-02-28;10308;February;2018;
XC70 III;2018-02-28;0;February;2018;
XC90 II;2018-02-28;6607;February;2018;
S60 CC;2017-02-28;85;February;2017;
S60 II;2017-02-28;1479;February;2017;
S60L;2017-02-28;1968;February;2017;
S80 II;2017-02-28;6;February;2017;
S90;2017-02-28;2141;February;2017;
V40;2017-02-28;5075;February;2017;
V40 CC;2017-02-28;1334;February;2017;
V60;2017-02-28;2975;February;2017;
V60 CC;2017-02-28;1269;February;2017;
V70 III;2017-02-28;40;February;2017;
V90;2017-02-28;2879;February;2017;
V90 CC;2017-02-28;835;February;2017;
XC40;2017-02-28;0;February;2017;
XC60;2017-02-28;11393;February;2017;
XC60 II;2017-02-28;0;February;2017;
XC70 III;2017-02-28;36;February;2017;
XC90 II;2017-02-28;5000;February;2017;
S60 CC;2018-01-31;108;January;2018;
S60 II;2018-01-31;1370;January;2018;
S60L;2018-01-31;2710;January;2018;
S80 II;2018-01-31;0;January;2018;
S90;2018-01-31;6057;January;2018;
V40;2018-01-31;4809;January;2018;
V40 CC;2018-01-31;1234;January;2018;
V60;2018-01-31;2527;January;2018;
V60 CC;2018-01-31;1145;January;2018;
V70 III;2018-01-31;0;January;2018;
V90;2018-01-31;2380;January;2018;
V90 CC;2018-01-31;1494;January;2018;
XC40;2018-01-31;395;January;2018;
XC60;2018-01-31;782;January;2018;
XC60 II;2018-01-31;11656;January;2018;
XC70 III;2018-01-31;0;January;2018;
XC90 II;2018-01-31;6772;January;2018;
S60 CC;2017-01-31;85;January;2017;
S60 II;2017-01-31;1333;January;2017;
S60L;2017-01-31;2104;January;2017;
S80 II;2017-01-31;3;January;2017;
S90;2017-01-31;1843;January;2017;
V40;2017-01-31;4367;January;2017;
V40 CC;2017-01-31;1318;January;2017;
V60;2017-01-31;2805;January;2017;
V60 CC;2017-01-31;1164;January;2017;
V70 III;2017-01-31;38;January;2017;
V90;2017-01-31;2275;January;2017;
V90 CC;2017-01-31;229;January;2017;
XC40;2017-01-31;0;January;2017;
XC60;2017-01-31;11330;January;2017;
XC60 II;2017-01-31;0;January;2017;
XC70 III;2017-01-31;72;January;2017;
XC90 II;2017-01-31;6509;January;2017;
C70 II;2016-12-31;0;December;2016;
S40 II;2016-12-31;0;December;2016;
S60 CC;2016-12-31;169;December;2016;
S60 II;2016-12-31;2539;December;2016;
S60L;2016-12-31;4438;December;2016;
S80 II;2016-12-31;49;December;2016;
S80L;2016-12-31;16;December;2016;
S90;2016-12-31;2050;December;2016;
V40;2016-12-31;9123;December;2016;
V40 CC;2016-12-31;2500;December;2016;
V60;2016-12-31;5422;December;2016;
V60 CC;2016-12-31;2015;December;2016;
V70 III;2016-12-31;524;December;2016;
V90;2016-12-31;2461;December;2016;
V90 CC;2016-12-31;37;December;2016;
XC60;2016-12-31;18987;December;2016;
XC70 III;2016-12-31;404;December;2016;
XC90;2016-12-31;0;December;2016;
XC90 II;2016-12-31;10070;December;2016;
C70 II;2015-12-31;0;December;2015;
S40 II;2015-12-31;0;December;2015;
S60 CC;2015-12-31;273;December;2015;
S60 II;2015-12-31;2746;December;2015;
S60L;2015-12-31;4035;December;2015;
S80 II;2015-12-31;648;December;2015;
S80L;2015-12-31;633;December;2015;
S90;2015-12-31;0;December;2015;
V40;2015-12-31;10471;December;2015;
V40 CC;2015-12-31;2600;December;2015;
V60;2015-12-31;5637;December;2015;
V60 CC;2015-12-31;1907;December;2015;
V70 III;2015-12-31;3214;December;2015;
V90;2015-12-31;0;December;2015;
V90 CC;2015-12-31;0;December;2015;
XC60;2015-12-31;17264;December;2015;
XC70 III;2015-12-31;3155;December;2015;
XC90;2015-12-31;365;December;2015;
XC90 II;2015-12-31;9177;December;2015;
C70 II;2016-11-30;0;November;2016;
S40 II;2016-11-30;0;November;2016;
S60 CC;2016-11-30;130;November;2016;
S60 II;2016-11-30;1981;November;2016;
S60L;2016-11-30;3594;November;2016;
S80 II;2016-11-30;107;November;2016;
S80L;2016-11-30;0;November;2016;
S90;2016-11-30;1590;November;2016;
V40;2016-11-30;7167;November;2016;
V40 CC;2016-11-30;1903;November;2016;
V60;2016-11-30;4478;November;2016;
V60 CC;2016-11-30;1883;November;2016;
V70 III;2016-11-30;196;November;2016;
V90;2016-11-30;1684;November;2016;
XC60;2016-11-30;15610;November;2016;
XC70 III;2016-11-30;560;November;2016;
XC90;2016-11-30;0;November;2016;
XC90 II;2016-11-30;7872;November;2016;
C70 II;2015-11-30;0;November;2015;
S40 II;2015-11-30;0;November;2015;
S60 CC;2015-11-30;129;November;2015;
S60 II;2015-11-30;2260;November;2015;
S60L;2015-11-30;3047;November;2015;
S80 II;2015-11-30;865;November;2015;
S80L;2015-11-30;668;November;2015;
S90;2015-11-30;0;November;2015;
V40;2015-11-30;7765;November;2015;
V40 CC;2015-11-30;1891;November;2015;
V60;2015-11-30;4262;November;2015;
V60 CC;2015-11-30;1380;November;2015;
V70 III;2015-11-30;2573;November;2015;
V90;2015-11-30;0;November;2015;
XC60;2015-11-30;13988;November;2015;
XC70 III;2015-11-30;2903;November;2015;
XC90;2015-11-30;533;November;2015;
XC90 II;2015-11-30;6792;November;2015;
C70 II;2016-10-31;0;October;2016;
S40 II;2016-10-31;0;October;2016;
S60 CC;2016-10-31;173;October;2016;
S60 II;2016-10-31;1870;October;2016;
S60L;2016-10-31;3300;October;2016;
S80 II;2016-10-31;58;October;2016;
S80L;2016-10-31;0;October;2016;
S90;2016-10-31;1149;October;2016;
V40;2016-10-31;7054;October;2016;
V40 CC;2016-10-31;1843;October;2016;
V60;2016-10-31;3580;October;2016;
V60 CC;2016-10-31;1474;October;2016;
V70 III;2016-10-31;265;October;2016;
V90;2016-10-31;2214;October;2016;
XC60;2016-10-31;14558;October;2016;
XC70 III;2016-10-31;673;October;2016;
XC90;2016-10-31;0;October;2016;
XC90 II;2016-10-31;7231;October;2016;
C70 II;2015-10-31;0;October;2015;
S40 II;2015-10-31;0;October;2015;
S60 CC;2015-10-31;147;October;2015;
S60 II;2015-10-31;2624;October;2015;
S60L;2015-10-31;2728;October;2015;
S80 II;2015-10-31;595;October;2015;
S80L;2015-10-31;341;October;2015;
S90;2015-10-31;0;October;2015;
V40;2015-10-31;6611;October;2015;
V40 CC;2015-10-31;1796;October;2015;
V60;2015-10-31;4294;October;2015;
V60 CC;2015-10-31;1788;October;2015;
V70 III;2015-10-31;2710;October;2015;
V90;2015-10-31;0;October;2015;
XC60;2015-10-31;12645;October;2015;
XC70 III;2015-10-31;3013;October;2015;
XC90;2015-10-31;78;October;2015;
XC90 II;2015-10-31;6430;October;2015;
C70 II;2016-09-30;0;September;2016;
S60 CC;2016-09-30;152;September;2016;
S60 II;2016-09-30;1737;September;2016;
S60L;2016-09-30;3976;September;2016;
S80 II;2016-09-30;125;September;2016;
S80L;2016-09-30;0;September;2016;
S90;2016-09-30;970;September;2016;
V40;2016-09-30;8295;September;2016;
V40 CC;2016-09-30;2046;September;2016;
V60;2016-09-30;3464;September;2016;
V60 CC;2016-09-30;1541;September;2016;
V70 III;2016-09-30;440;September;2016;
V90;2016-09-30;953;September;2016;
XC60;2016-09-30;15551;September;2016;
XC70 III;2016-09-30;1153;September;2016;
XC90;2016-09-30;0;September;2016;
XC90 II;2016-09-30;7856;September;2016;
C70 II;2015-09-30;1;September;2015;
S60 CC;2015-09-30;106;September;2015;
S60 II;2015-09-30;2506;September;2015;
S60L;2015-09-30;2594;September;2015;
S80 II;2015-09-30;451;September;2015;
S80L;2015-09-30;140;September;2015;
S90;2015-09-30;0;September;2015;
V40;2015-09-30;8291;September;2015;
V40 CC;2015-09-30;2207;September;2015;
V60;2015-09-30;3863;September;2015;
V60 CC;2015-09-30;1235;September;2015;
V70 III;2015-09-30;2342;September;2015;
V90;2015-09-30;0;September;2015;
XC60;2015-09-30;15126;September;2015;
XC70 III;2015-09-30;2312;September;2015;
XC90;2015-09-30;182;September;2015;
XC90 II;2015-09-30;4183;September;2015;
C70 I;2016-08-31;0;August;2016;
C70 II;2016-08-31;0;August;2016;
S40 II;2016-08-31;0;August;2016;
S60 CC;2016-08-31;157;August;2016;
S60 II;2016-08-31;1579;August;2016;
S60L;2016-08-31;2890;August;2016;
S80 II;2016-08-31;198;August;2016;
S80L;2016-08-31;0;August;2016;
S90;2016-08-31;552;August;2016;
V40;2016-08-31;3966;August;2016;
V40 CC;2016-08-31;978;August;2016;
V60;2016-08-31;2201;August;2016;
V60 CC;2016-08-31;1172;August;2016;
V70 III;2016-08-31;586;August;2016;
V90;2016-08-31;246;August;2016;
XC60;2016-08-31;9946;August;2016;
XC70 III;2016-08-31;1674;August;2016;
XC90;2016-08-31;0;August;2016;
XC90 II;2016-08-31;6681;August;2016;
C70 I;2015-08-31;0;August;2015;
C70 II;2015-08-31;0;August;2015;
S40 II;2015-08-31;0;August;2015;
S60 CC;2015-08-31;93;August;2015;
S60 II;2015-08-31;2730;August;2015;
S60L;2015-08-31;1744;August;2015;
S80 II;2015-08-31;315;August;2015;
S80L;2015-08-31;195;August;2015;
S90;2015-08-31;0;August;2015;
V40;2015-08-31;5014;August;2015;
V40 CC;2015-08-31;1380;August;2015;
V60;2015-08-31;2282;August;2015;
V60 CC;2015-08-31;844;August;2015;
V70 III;2015-08-31;1649;August;2015;
V90;2015-08-31;0;August;2015;
XC60;2015-08-31;9595;August;2015;
XC70 III;2015-08-31;1438;August;2015;
XC90;2015-08-31;129;August;2015;
XC90 II;2015-08-31;2787;August;2015;
C70 II;2016-07-31;0;July;2016;
S40 II;2016-07-31;0;July;2016;
S60 CC;2016-07-31;122;July;2016;
S60 II;2016-07-31;2684;July;2016;
S60L;2016-07-31;2630;July;2016;
S80 II;2016-07-31;227;July;2016;
S80L;2016-07-31;0;July;2016;
S90;2016-07-31;885;July;2016;
V40;2016-07-31;6270;July;2016;
V40 CC;2016-07-31;1565;July;2016;
V60;2016-07-31;2957;July;2016;
V60 CC;2016-07-31;1357;July;2016;
V70 III;2016-07-31;618;July;2016;
V90;2016-07-31;79;July;2016;
XC60;2016-07-31;12623;July;2016;
XC70 III;2016-07-31;1762;July;2016;
XC90;2016-07-31;3;July;2016;
XC90 II;2016-07-31;7899;July;2016;
C70 II;2015-07-31;1;July;2015;
S40 II;2015-07-31;0;July;2015;
S60 CC;2015-07-31;16;July;2015;
S60 II;2015-07-31;2743;July;2015;
S60L;2015-07-31;1790;July;2015;
S80 II;2015-07-31;396;July;2015;
S80L;2015-07-31;163;July;2015;
S90;2015-07-31;0;July;2015;
V40;2015-07-31;5566;July;2015;
V40 CC;2015-07-31;1532;July;2015;
V60;2015-07-31;3508;July;2015;
V60 CC;2015-07-31;838;July;2015;
V70 III;2015-07-31;1926;July;2015;
V90;2015-07-31;0;July;2015;
XC60;2015-07-31;12933;July;2015;
XC70 III;2015-07-31;2098;July;2015;
XC90;2015-07-31;85;July;2015;
XC90 II;2015-07-31;4533;July;2015;
C70 II;2016-06-30;0;June;2016;
S40 II;2016-06-30;0;June;2016;
S60 CC;2016-06-30;206;June;2016;
S60 II;2016-06-30;2687;June;2016;
S60L;2016-06-30;3420;June;2016;
S80 II;2016-06-30;335;June;2016;
S80L;2016-06-30;0;June;2016;
S90;2016-06-30;161;June;2016;
V40;2016-06-30;8110;June;2016;
V40 CC;2016-06-30;2032;June;2016;
V60;2016-06-30;4385;June;2016;
V60 CC;2016-06-30;1900;June;2016;
V70 III;2016-06-30;1212;June;2016;
XC60;2016-06-30;15536;June;2016;
XC70 III;2016-06-30;3167;June;2016;
XC90;2016-06-30;0;June;2016;
XC90 II;2016-06-30;8280;June;2016;
C70 II;2015-06-30;0;June;2015;
S40 II;2015-06-30;0;June;2015;
S60 CC;2015-06-30;0;June;2015;
S60 II;2015-06-30;3529;June;2015;
S60L;2015-06-30;2185;June;2015;
S80 II;2015-06-30;721;June;2015;
S80L;2015-06-30;185;June;2015;
S90;2015-06-30;0;June;2015;
V40;2015-06-30;7488;June;2015;
V40 CC;2015-06-30;2143;June;2015;
V60;2015-06-30;4548;June;2015;
V60 CC;2015-06-30;894;June;2015;
V70 III;2015-06-30;2633;June;2015;
XC60;2015-06-30;14987;June;2015;
XC70 III;2015-06-30;2438;June;2015;
XC90;2015-06-30;131;June;2015;
XC90 II;2015-06-30;4638;June;2015;
C70 I;2016-05-31;0;May;2016;
C70 II;2016-05-31;0;May;2016;
S40 II;2016-05-31;0;May;2016;
S60 CC;2016-05-31;173;May;2016;
S60 II;2016-05-31;2115;May;2016;
S60L;2016-05-31;2372;May;2016;
S80 II;2016-05-31;416;May;2016;
S80L;2016-05-31;0;May;2016;
S90;2016-05-31;26;May;2016;
V40;2016-05-31;6105;May;2016;
